code,description
"static void initGPU();
int main(int argc, char** argv)
{
    int i,j;
    int n = 16384;
    int m = 16384;
    int iter_max = 100;

    const double pi = 2.0 * asin(1.0);
    const double tol = 1.0e-5;
    double err = 1.0;

    double* restrict const A	= malloc( n*m * sizeof(double) );
    double* restrict const Anew	= malloc( n*m * sizeof(double) );
    double* restrict const y0	= malloc( n   * sizeof(double) );

   initGPU();

    for( j = 0; j < n; j++)
    {
        for( i = 0; i < m; i++ )
        {
            Anew[j *m+ i] = 0.0;
            A[j *m+ i]    = 0.0;
        }
    }

    // set boundary conditions
    for (i = 0; i < m; i++)
    {
        A[0	    *m+ i] = 0.0;
        A[(n-1) *m+ i] = 0.0;
    }

    for (j = 0; j < n; j++)
    {
        y0[j] = sin(pi * j / (n-1));
        A[j *m+ 0] = y0[j];
        A[j *m+ (m-1)] = y0[j]*exp(-pi);
        Anew[j *m+ 0] = A[j *m+ 0];
        Anew[j *m+ (m-1)] = A[j *m+ (m-1)];
    }

    printf(""Jacobi relaxation Calculation: %d x %d mesh with %d threads and at most %d iterations.""
           "" %d rows out of %d on CPU.\n"", n, m, 1, iter_max, 0, n);

    double starttime = omp_get_wtime();
    int iter = 0;


    //TODO: use OpenMP to accelerate the most time consuming loop on a GPU
    //TODO: denote all needed clauses
    while ( err > tol && iter < iter_max ) {

	err = 0.0;

#pragma omp target teams distribute parallel for reduction(max:err) schedule(nonmonotonic:static,1) \
            map(to:A[0:n*m]) map(from:Anew[0:n*m], err)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                Anew[j *m+ i] = 0.25 * ( A[j     *m+ (i+1)] + A[j     *m+ (i-1)]
                                     +   A[(j-1) *m+ i]     + A[(j+1) *m+ i]);
                err = fmax(err,fabs(Anew[j*m+i]-A[j*m+i]));
            }
        }

        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                A[j *m+ i] = Anew[j *m+ i];
            }
        }

        if(iter % 10 == 0) {
            printf(""%5d, %0.6f\n"", iter, err);
        }

        iter++;
    } // end while
    double runtime = omp_get_wtime() - starttime;


    printf("" total: %f s\n"", runtime );

    free(y0);
    free(Anew);
    free(A);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; performs mathematical computations using standard math functions; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"static void initGPU();
int main(int argc, char** argv)
{
    int i,j;
    int n = 16384;
    int m = 16384;
    int iter_max = 100;

    const double pi = 2.0 * asin(1.0);
    const double tol = 1.0e-5;
    double err = 1.0;

    double* restrict const A	= malloc( n*m * sizeof(double) );
    double* restrict const Anew	= malloc( n*m * sizeof(double) );
    double* restrict const y0	= malloc( n   * sizeof(double) );

   initGPU(argc, argv);

    for( j = 0; j < n; j++)
    {
        for( i = 0; i < m; i++ )
        {
            Anew[j *m+ i]	= 0.0;
            A[j *m+ i]		= 0.0;
        }
    }

    // set boundary conditions
    for (i = 0; i < m; i++)
    {
        A[0	    *m+ i] = 0.0;
        A[(n-1) *m+ i] = 0.0;
    }

    for (j = 0; j < n; j++)
    {
        y0[j] = sin(pi * j / (n-1));
        A[j *m+ 0] = y0[j];
        A[j *m+ (m-1)] = y0[j]*exp(-pi);
        Anew[j *m+ 0] = A[j *m+ 0];
        Anew[j *m+ (m-1)] = A[j *m+ (m-1)];
    }

    printf(""Jacobi relaxation Calculation: %d x %d mesh with %d threads. %d rows out of %d on CPU.\n"", n, m,1,0,n);

    double starttime = omp_get_wtime();
    int iter = 0;


    //TODO: optimize the data movement

    while ( err > tol && iter < iter_max ) {

        err = 0.0;

        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                Anew[j *m+ i] = 0.25 * ( A[j     *m+ (i+1)] + A[j     *m+ (i-1)]
                                     +   A[(j-1) *m+ i]     + A[(j+1) *m+ i]);
                err = fmax(err,fabs(Anew[j*m+i]-A[j*m+i]));
            }
        }

        //TODO: use OpenACC to accelerate this loop on a GPU and keep data resident in GPU memory

        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                A[j *m+ i] = Anew[j *m+ i];
            }
        }

        if(iter % 10 == 0) {
            printf(""%5d, %0.6f\n"", iter, err);
        }

        iter++;
    } // end while

    double runtime = omp_get_wtime() - starttime;


    printf("" total: %f s\n"", runtime );

    free(y0);
    free(Anew);
    free(A);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; performs mathematical computations using standard math functions; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"static void initGPU();
int main(int argc, char** argv)
{
    int i,j;
    int n = 16384;
    int m = 16384;
    int iter_max = 100;

    const double pi = 2.0 * asin(1.0);
    const double tol = 1.0e-5;
    double err = 1.0;

    double* restrict const A	= malloc( n*m * sizeof(double) );
    double* restrict const Anew	= malloc( n*m * sizeof(double) );
    double* restrict const y0	= malloc( n   * sizeof(double) );

   initGPU();

    for( j = 0; j < n; j++)
    {
        for( i = 0; i < m; i++ )
        {
            Anew[j *m+ i] = 0.0;
            A[j *m+ i]    = 0.0;
        }
    }

    // set boundary conditions
    for (i = 0; i < m; i++)
    {
        A[0	    *m+ i] = 0.0;
        A[(n-1) *m+ i] = 0.0;
    }

    for (j = 0; j < n; j++)
    {
        y0[j] = sin(pi * j / (n-1));
        A[j *m+ 0] = y0[j];
        A[j *m+ (m-1)] = y0[j]*exp(-pi);
        Anew[j *m+ 0] = A[j *m+ 0];
        Anew[j *m+ (m-1)] = A[j *m+ (m-1)];
    }

    printf(""Jacobi relaxation Calculation: %d x %d mesh with %d threads. %d rows out of %d on CPU.\n"", n, m,1,0,n);

    double starttime = omp_get_wtime();
    int iter = 0;


    //TODO: optimize the data movement
#pragma omp target data map(to:A[0:n*m]) map(alloc:Anew[0:n*m])
    while ( err > tol && iter < iter_max ) {

        err = 0.0;

#pragma omp target teams distribute parallel for reduction(max:err) schedule(nonmonotonic:static,1)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                Anew[j *m+ i] = 0.25 * ( A[j     *m+ (i+1)] + A[j     *m+ (i-1)]
                                     +   A[(j-1) *m+ i]     + A[(j+1) *m+ i]);
                err = fmax(err,fabs(Anew[j*m+i]-A[j*m+i]));
            }
        }

        //TODO: use OpenACC to accelerate this loop on a GPU and keep data resident in GPU memory
#pragma omp target teams distribute parallel for schedule(nonmonotonic:static,1)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                A[j *m+ i] = Anew[j *m+ i];
            }
        }

        if(iter % 10 == 0) {
            printf(""%5d, %0.6f\n"", iter, err);
        }

        iter++;
    } // end while

    double runtime = omp_get_wtime() - starttime;


    printf("" total: %f s\n"", runtime );

    free(y0);
    free(Anew);
    free(A);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; performs mathematical computations using standard math functions; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"static void initGPU();
int main(int argc, char** argv)
{
    int i,j;
    int n = 16384;
    int m = 16384;
    int iter_max = 100;

    const double pi = 2.0 * asin(1.0);
    const double tol = 1.0e-5;
    double err = 1.0;

    double* restrict const A	= malloc( n*m * sizeof(double) );
    double* restrict const Anew	= malloc( n*m * sizeof(double) );
    double* restrict const y0	= malloc( n   * sizeof(double) );

    initGPU();

    for( j = 0; j < n; j++)
    {
        for( i = 0; i < m; i++ )
        {
            Anew[j *m+ i]	= 0.0;
            A[j *m+ i]		= 0.0;
        }
    }

    // set boundary conditions
    for (i = 0; i < m; i++)
    {
        A[0	    *m+ i] = 0.0;
        A[(n-1) *m+ i] = 0.0;
    }

    for (j = 0; j < n; j++)
    {
        y0[j] = sin(pi * j / (n-1));
        A[j *m+ 0] = y0[j];
        A[j *m+ (m-1)] = y0[j]*exp(-pi);
        Anew[j *m+ 0] = A[j *m+ 0];
        Anew[j *m+ (m-1)] = A[j *m+ (m-1)];
    }

    printf(""Jacobi relaxation Calculation: %d x %d mesh with %d threads. %d rows out of %d on CPU.\n"", n, m,1,0,n);

    double starttime = omp_get_wtime();
    int iter = 0;


#pragma omp target data map(to:A[0:n*m]) map(alloc:Anew[0:n*m])
    while ( err > tol && iter < iter_max ) {

        err = 0.0;

	// TODO: give the compiler more options to restructure the loop
#pragma omp target teams distribute parallel for reduction(max:err) schedule(nonmonotonic:static,1)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                Anew[j *m+ i] = 0.25 * ( A[j     *m+ (i+1)] + A[j     *m+ (i-1)]
                                     +   A[(j-1) *m+ i]     + A[(j+1) *m+ i]);
                err = fmax(err,fabs(Anew[j*m+i]-A[j*m+i]));
            }
        }

	// TODO: the same here
#pragma omp target teams distribute parallel for schedule(nonmonotonic:static,1)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                A[j *m+ i] = Anew[j *m+ i];
            }
        }

        if(iter % 10 == 0) {
            printf(""%5d, %0.6f\n"", iter, err);
        }

        iter++;
    } // end while

    double runtime = omp_get_wtime() - starttime;


    printf("" total: %f s\n"", runtime );

    free(y0);
    free(Anew);
    free(A);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; performs mathematical computations using standard math functions; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"static void initGPU();
int main(int argc, char** argv)
{
    int i,j;
    int n = 16384;
    int m = 16384;
    int iter_max = 100;

    const double pi = 2.0 * asin(1.0);
    const double tol = 1.0e-5;
    double err = 1.0;

    double* restrict const A	= malloc( n*m * sizeof(double) );
    double* restrict const Anew	= malloc( n*m * sizeof(double) );
    double* restrict const y0	= malloc( n   * sizeof(double) );

    initGPU();

    for( j = 0; j < n; j++)
    {
        for( i = 0; i < m; i++ )
        {
            Anew[j *m+ i]	= 0.0;
            A[j *m+ i]		= 0.0;
        }
    }

    // set boundary conditions
    for (i = 0; i < m; i++)
    {
        A[0	    *m+ i] = 0.0;
        A[(n-1) *m+ i] = 0.0;
    }

    for (j = 0; j < n; j++)
    {
        y0[j] = sin(pi * j / (n-1));
        A[j *m+ 0] = y0[j];
        A[j *m+ (m-1)] = y0[j]*exp(-pi);
        Anew[j *m+ 0] = A[j *m+ 0];
        Anew[j *m+ (m-1)] = A[j *m+ (m-1)];
    }

    printf(""Jacobi relaxation Calculation: %d x %d mesh with %d threads. %d rows out of %d on CPU.\n"", n, m,1,0,n);

    double starttime = omp_get_wtime();
    int iter = 0;


#pragma omp target data map(to:A[0:n*m]) map(alloc:Anew[0:n*m])
    while ( err > tol && iter < iter_max ) {

        err = 0.0;

	// TODO: give the compiler more options to restructure the loop
#pragma omp target teams distribute parallel for collapse(2) reduction(max:err) schedule(nonmonotonic:static,1)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                Anew[j *m+ i] = 0.25 * ( A[j     *m+ (i+1)] + A[j     *m+ (i-1)]
                                     +   A[(j-1) *m+ i]     + A[(j+1) *m+ i]);
                err = fmax(err,fabs(Anew[j*m+i]-A[j*m+i]));
            }
        }

	// TODO: the same here
#pragma omp target teams distribute parallel for collapse(2) schedule(nonmonotonic:static,1)
        for( j = 1; j < n-1; j++) {
            for( i = 1; i < m-1; i++ ) {
                A[j *m+ i] = Anew[j *m+ i];
            }
        }

        if(iter % 10 == 0) {
            printf(""%5d, %0.6f\n"", iter, err);
        }

        iter++;
    } // end while

    double runtime = omp_get_wtime() - starttime;


    printf("" total: %f s\n"", runtime );

    free(y0);
    free(Anew);
    free(A);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; performs mathematical computations using standard math functions; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"#include <string.h>
#include <stdio.h>
#include <stdlib.h>
#include <omp.h>
#include ""laplace2d.h""
int main(int argc, char** argv)
{

    int n, m, iter_max;

    if(argc > 1){
        n = atoi(argv[1]);
    } else {
        n = 4096;
    }

    if(argc > 2){
        m = atoi(argv[2]);
    } else {
        m = 4096;
    }

    if(argc > 3){
        iter_max = atoi(argv[3]);
    } else {
        iter_max = 1000;
    }

    const double tol = 1.0e-6;
    double error = 1.0;

    double *restrict A    = (double*)malloc(sizeof(double)*n*m);
    double *restrict Anew = (double*)malloc(sizeof(double)*n*m);
    
    initialize(A, Anew, m, n);
        
    printf(""Jacobi relaxation Calculation: %d x %d mesh\n"", n, m);
    
    double st = omp_get_wtime();
    int iter = 0;
   
    while ( error > tol && iter < iter_max )
    {
        error = calcNext(A, Anew, m, n);
        swap(A, Anew, m, n);

        if(iter % 100 == 0) printf(""%5d, %0.6f\n"", iter, error);
        
        iter++;

    }

    double runtime = omp_get_wtime() - st;
 
    printf("" total: %f s\n"", runtime);

    deallocate(A, Anew);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; serves as the main entry point for program execution."
"#define OFFSET(x, y, m) (((x)*(m)) + (y))
void initialize(double *restrict A, double *restrict Anew, int m, int n)
{
    memset(A, 0, n * m * sizeof(double));
    memset(Anew, 0, n * m * sizeof(double));

    for(int i = 0; i < m; i++){
        A[i] = 1.0;
        Anew[i] = 1.0;
    }
}","Function Name: initialize
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and executes a general set of operations."
"double calcNext(double *restrict A, double *restrict Anew, int m, int n)
{
    double error = 0.0;
    #pragma omp target teams distribute parallel for simd collapse(2) map(to:A[:m*n]) map(from:Anew[:m*n]) map(tofrom:error) reduction(max:error)
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            Anew[OFFSET(j, i, m)] = 0.25 * ( A[OFFSET(j, i+1, m)] + A[OFFSET(j, i-1, m)]
                                           + A[OFFSET(j-1, i, m)] + A[OFFSET(j+1, i, m)]);
            error = fmax( error, fabs(Anew[OFFSET(j, i, m)] - A[OFFSET(j, i , m)]));
        }
    }
    return error;
}","Function Name: calcNext
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a double and uses OpenMP for managing threads and parallel sections."
"void swap(double *restrict A, double *restrict Anew, int m, int n)
{
    #pragma omp target teams distribute parallel for simd collapse(2) map(to:A[:m*n]) map(from:Anew[:m*n])
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            A[OFFSET(j, i, m)] = Anew[OFFSET(j, i, m)];    
        }
    }
}","Function Name: swap
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and uses OpenMP for managing threads and parallel sections."
"void deallocate(double *restrict A, double *restrict Anew)
{
    free(A);
    free(Anew);
}","Function Name: deallocate
Parameters: double *restrict A, double *restrict Anew
Description: This function returns a void and executes a general set of operations."
"#include <string.h>
#include <stdio.h>
#include <stdlib.h>
#include <omp.h>
#include ""laplace2d.h""
int main(int argc, char** argv)
{

    int n, m, iter_max;

    if(argc > 1){
        n = atoi(argv[1]);
    } else {
        n = 4096;
    }

    if(argc > 2){
        m = atoi(argv[2]);
    } else {
        m = 4096;
    }

    if(argc > 3){
        iter_max = atoi(argv[3]);
    } else {
        iter_max = 1000;
    }

    const double tol = 1.0e-6;
    double error = 1.0;

    double *restrict A    = (double*)malloc(sizeof(double)*n*m);
    double *restrict Anew = (double*)malloc(sizeof(double)*n*m);
    
    initialize(A, Anew, m, n);
        
    printf(""Jacobi relaxation Calculation: %d x %d mesh\n"", n, m);
    
    double st = omp_get_wtime();
    int iter = 0;
   
    while ( error > tol && iter < iter_max )
    {
        error = calcNext(A, Anew, m, n);
        swap(A, Anew, m, n);

        if(iter % 100 == 0) printf(""%5d, %0.6f\n"", iter, error);
        
        iter++;

    }

    double runtime = omp_get_wtime() - st;
 
    printf("" total: %f s\n"", runtime);

    deallocate(A, Anew);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; serves as the main entry point for program execution."
"#define OFFSET(x, y, m) (((x)*(m)) + (y))
void initialize(double *restrict A, double *restrict Anew, int m, int n)
{
    memset(A, 0, n * m * sizeof(double));
    memset(Anew, 0, n * m * sizeof(double));

    for(int i = 0; i < m; i++){
        A[i] = 1.0;
        Anew[i] = 1.0;
    }
}","Function Name: initialize
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and executes a general set of operations."
"double calcNext(double *restrict A, double *restrict Anew, int m, int n)
{
    double error = 0.0;
    #pragma omp target teams distribute parallel for simd collapse(2) reduction(max:error)
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            Anew[OFFSET(j, i, m)] = 0.25 * ( A[OFFSET(j, i+1, m)] + A[OFFSET(j, i-1, m)]
                                           + A[OFFSET(j-1, i, m)] + A[OFFSET(j+1, i, m)]);
            error = fmax( error, fabs(Anew[OFFSET(j, i, m)] - A[OFFSET(j, i , m)]));
        }
    }
    return error;
}","Function Name: calcNext
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a double and uses OpenMP for managing threads and parallel sections."
"void swap(double *restrict A, double *restrict Anew, int m, int n)
{
    #pragma omp target teams distribute parallel for simd collapse(2)
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            A[OFFSET(j, i, m)] = Anew[OFFSET(j, i, m)];    
        }
    }
}","Function Name: swap
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and uses OpenMP for managing threads and parallel sections."
"void deallocate(double *restrict A, double *restrict Anew)
{
    free(A);
    free(Anew);
}","Function Name: deallocate
Parameters: double *restrict A, double *restrict Anew
Description: This function returns a void and executes a general set of operations."
"#include <string.h>
#include <stdio.h>
#include <stdlib.h>
#include <omp.h>
#include ""laplace2d.h""
int main(int argc, char** argv)
{

    int n, m, iter_max;

    if(argc > 1){
        n = atoi(argv[1]);
    } else {
        n = 4096;
    }

    if(argc > 2){
        m = atoi(argv[2]);
    } else {
        m = 4096;
    }

    if(argc > 3){
        iter_max = atoi(argv[3]);
    } else {
        iter_max = 1000;
    }

    const double tol = 1.0e-6;
    double error = 1.0;

    double *restrict A    = (double*)malloc(sizeof(double)*n*m);
    double *restrict Anew = (double*)malloc(sizeof(double)*n*m);
    
    initialize(A, Anew, m, n);
        
    printf(""Jacobi relaxation Calculation: %d x %d mesh\n"", n, m);
    
    double st = omp_get_wtime();
    int iter = 0;

    #pragma omp target data map(to:A[:m*n]) map(alloc:Anew[:m*n])
    {
        while ( error > tol && iter < iter_max )
        {
            error = calcNext(A, Anew, m, n);
            swap(A, Anew, m, n);

            if(iter % 100 == 0) printf(""%5d, %0.6f\n"", iter, error);
        
            iter++;

        }
    }

    double runtime = omp_get_wtime() - st;
 
    printf("" total: %f s\n"", runtime);

    deallocate(A, Anew);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; serves as the main entry point for program execution."
"#define OFFSET(x, y, m) (((x)*(m)) + (y))
void initialize(double *restrict A, double *restrict Anew, int m, int n)
{
    memset(A, 0, n * m * sizeof(double));
    memset(Anew, 0, n * m * sizeof(double));

    for(int i = 0; i < m; i++){
        A[i] = 1.0;
        Anew[i] = 1.0;
    }
}","Function Name: initialize
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and executes a general set of operations."
"double calcNext(double *restrict A, double *restrict Anew, int m, int n)
{
    double error = 0.0;
    #pragma omp target teams distribute parallel for simd collapse(2) map(to:A[:m*n]) map(from:Anew[:m*n]) map(tofrom:error) reduction(max:error)
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            Anew[OFFSET(j, i, m)] = 0.25 * ( A[OFFSET(j, i+1, m)] + A[OFFSET(j, i-1, m)]
                                           + A[OFFSET(j-1, i, m)] + A[OFFSET(j+1, i, m)]);
            error = fmax( error, fabs(Anew[OFFSET(j, i, m)] - A[OFFSET(j, i , m)]));
        }
    }
    return error;
}","Function Name: calcNext
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a double and uses OpenMP for managing threads and parallel sections."
"void swap(double *restrict A, double *restrict Anew, int m, int n)
{
    #pragma omp target teams distribute parallel for simd collapse(2) map(to:A[:m*n]) map(from:Anew[:m*n])
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            A[OFFSET(j, i, m)] = Anew[OFFSET(j, i, m)];    
        }
    }
}","Function Name: swap
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and uses OpenMP for managing threads and parallel sections."
"void deallocate(double *restrict A, double *restrict Anew)
{
    free(A);
    free(Anew);
}","Function Name: deallocate
Parameters: double *restrict A, double *restrict Anew
Description: This function returns a void and executes a general set of operations."
"#include <string.h>
#include <stdio.h>
#include <stdlib.h>
#include <omp.h>
#include ""laplace2d.h""
int main(int argc, char** argv)
{

    int n, m, iter_max;

    if(argc > 1){
        n = atoi(argv[1]);
    } else {
        n = 4096;
    }

    if(argc > 2){
        m = atoi(argv[2]);
    } else {
        m = 4096;
    }

    if(argc > 3){
        iter_max = atoi(argv[3]);
    } else {
        iter_max = 1000;
    }

    const double tol = 1.0e-6;
    double error = 1.0;

    double *restrict A    = (double*)malloc(sizeof(double)*n*m);
    double *restrict Anew = (double*)malloc(sizeof(double)*n*m);
    
    initialize(A, Anew, m, n);
        
    printf(""Jacobi relaxation Calculation: %d x %d mesh\n"", n, m);
    
    double st = omp_get_wtime();
    int iter = 0;
   
    while ( error > tol && iter < iter_max )
    {
        error = calcNext(A, Anew, m, n);
        swap(A, Anew, m, n);

        if(iter % 100 == 0) printf(""%5d, %0.6f\n"", iter, error);
        
        iter++;

    }

    double runtime = omp_get_wtime() - st;
 
    printf("" total: %f s\n"", runtime);

    deallocate(A, Anew, m, n);

    return 0;
}","Function Name: main
Parameters: int argc, char** argv
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; serves as the main entry point for program execution."
"#define OFFSET(x, y, m) (((x)*(m)) + (y))
void initialize(double *restrict A, double *restrict Anew, int m, int n)
{
    memset(A, 0, n * m * sizeof(double));
    memset(Anew, 0, n * m * sizeof(double));

    for(int i = 0; i < m; i++){
        A[i] = 1.0;
        Anew[i] = 1.0;
    }

    #pragma omp target enter data map(to:A[:m*n],Anew[:m*n])
}","Function Name: initialize
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and uses OpenMP for managing threads and parallel sections."
"double calcNext(double *restrict A, double *restrict Anew, int m, int n)
{
    double error = 0.0;
    #pragma omp target teams distribute parallel for simd collapse(2) map(to:A[:m*n]) map(from:Anew[:m*n]) map(tofrom:error) reduction(max:error)
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            Anew[OFFSET(j, i, m)] = 0.25 * ( A[OFFSET(j, i+1, m)] + A[OFFSET(j, i-1, m)]
                                           + A[OFFSET(j-1, i, m)] + A[OFFSET(j+1, i, m)]);
            error = fmax( error, fabs(Anew[OFFSET(j, i, m)] - A[OFFSET(j, i , m)]));
        }
    }
    return error;
}","Function Name: calcNext
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a double and uses OpenMP for managing threads and parallel sections."
"void swap(double *restrict A, double *restrict Anew, int m, int n)
{
    #pragma omp target teams distribute parallel for simd collapse(2) map(to:A[:m*n]) map(from:Anew[:m*n])
    for( int j = 1; j < n-1; j++)
    {
        for( int i = 1; i < m-1; i++ )
        {
            A[OFFSET(j, i, m)] = Anew[OFFSET(j, i, m)];    
        }
    }
}","Function Name: swap
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and uses OpenMP for managing threads and parallel sections."
"void deallocate(double *restrict A, double *restrict Anew, int m, int n)
{
    #pragma omp target exit data map(from:A[:m*n],Anew[:m*n])
    free(A);
    free(Anew);
}","Function Name: deallocate
Parameters: double *restrict A, double *restrict Anew, int m, int n
Description: This function returns a void and uses OpenMP for managing threads and parallel sections."
"int main() {
  int i;
  double x, pi, sum = 0.0;
  double start_time, run_time;

  step = 1.0 / (double)num_steps;

  start_time = omp_get_wtime();

#pragma omp target map(sum)
{
  #pragma omp parallel reduction(+:sum)
  #pragma omp for private(x)
  for (int i = 1; i <= num_steps; i++) {
    x = (i - 0.5) * step;
    sum = sum + 4.0 / (1.0 + x * x);
  }
}

  pi = step * sum;
  run_time = omp_get_wtime() - start_time;
  printf(""\n pi with %ld steps is %lf in %lf seconds\n "", num_steps, pi,
         run_time);
}","Function Name: main
Parameters: None
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"int main() {
  int i;
  double x, pi, sum = 0.0;
  double start_time, run_time;

  step = 1.0 / (double)num_steps;

  start_time = omp_get_wtime();

#pragma omp target map(sum)
{
  #pragma omp teams reduction(+:sum)
  #pragma omp distribute private(x)
  for (int i = 1; i <= num_steps; i++) {
    x = (i - 0.5) * step;
    sum = sum + 4.0 / (1.0 + x * x);
  }
}

  pi = step * sum;
  run_time = omp_get_wtime() - start_time;
  printf(""\n pi with %ld steps is %lf in %lf seconds\n "", num_steps, pi,
         run_time);
}","Function Name: main
Parameters: None
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"int main() {
  int i;
  double x, pi, sum = 0.0;
  double start_time, run_time;

  step = 1.0 / (double)num_steps;

  start_time = omp_get_wtime();

#pragma omp target map(sum)
#pragma omp teams reduction(+:sum)
{
  int block_size = num_steps/omp_get_num_teams();
#pragma omp distribute dist_schedule(static, 1) 
  for (int ii=0; ii<num_steps; ii+=block_size)
  {
#pragma omp parallel for private(x) reduction(+:sum)
  for (int i = ii+1; i <= MIN(ii+block_size, num_steps); i++) {
    x = (i - 0.5) * step;
    sum = sum + 4.0 / (1.0 + x * x);
  }
  }
}

  pi = step * sum;
  run_time = omp_get_wtime() - start_time;
  printf(""\n pi with %ld steps is %lf in %lf seconds\n "", num_steps, pi,
         run_time);
}","Function Name: main
Parameters: None
Description: This function returns a int and performs parallel execution using OpenMP directives; displays output to the console; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
"int main() {
  int i;
  double x, pi, sum = 0.0;
  double start_time, run_time;

  step = 1.0 / (double)num_steps;

  start_time = omp_get_wtime();

#pragma omp target map(sum)
#pragma omp teams distribute parallel for simd private(x) reduction(+:sum)
  for (i = 1; i <= num_steps; i++) {
    x = (i - 0.5) * step;
    sum = sum + 4.0 / (1.0 + x * x);
  }

  pi = step * sum;
  run_time = omp_get_wtime() - start_time;
  printf(""\n pi with %ld steps is %lf in %lf seconds\n "", num_steps, pi,
         run_time);
}","Function Name: main
Parameters: None
Description: This function returns a int and uses OpenMP for managing threads and parallel sections; displays output to the console; estimates the value of Pi using numerical methods; serves as the main entry point for program execution."
